Vehicle_ID,Timestamp,Engine_RPM,Engine_Temperature,Oil_Temperature,Oil_Pressure,Coolant_Temperature,Battery_Voltage,Vehicle_Speed,Fuel_Consumption,Engine_Vibration,Brake_Temperature
CAR-001,03-01-2026 16:00,2154,90.28,93.61,2.96,88.46,13.79,37.87,10.2,2.43,81.41
CAR-001,03-01-2026 17:00,1584,88.25,94.53,3.59,99.65,13.35,33.96,5.7,1.29,53.65
CAR-001,03-01-2026 18:00,1534,89.53,101.24,2.69,85.68,12.32,35.06,11.61,1.96,85.17
CAR-001,03-01-2026 19:00,1220,98.09,97.22,3.2,91.61,12.61,6.17,11.59,1.72,89.33
CAR-001,03-01-2026 20:00,2441,92.38,97.31,3.53,87.28,13.98,113.9,5.6,1.37,73.48
CAR-001,03-01-2026 21:00,2504,94.09,103.72,2.84,92.84,13.19,53.13,11.02,2.49,58.32
CAR-001,03-01-2026 22:00,3343,85.9,108.8,2.65,96.44,13.58,31.76,5.57,1.36,73.12
CAR-001,03-01-2026 23:00,1441,85.04,93.52,3.39,89.37,12.71,84.83,9.92,1.68,81.24
CAR-001,04-01-2026 00:00,1883,96.82,98.75,3.49,99.01,13.14,65.35,9.53,2.36,89.6
CAR-001,04-01-2026 01:00,1092,85.89,103.78,3.39,97.36,14.23,52.7,8.28,1.46,64.15
CAR-001,04-01-2026 02:00,1915,92.51,94.81,2.62,85.6,13.15,38.68,6.75,1.14,97.71
CAR-001,04-01-2026 03:00,3156,93.81,80.62,3.65,97.32,13.47,91.57,6.23,1.78,66.53
CAR-001,04-01-2026 04:00,1939,87.72,97.56,3.45,92.38,12.4,41.76,7.33,2.01,91.46
CAR-001,04-01-2026 05:00,2150,91.17,94.86,3.49,91.01,13.87,4.4,5.62,1.38,46.96
CAR-001,04-01-2026 06:00,3964,91.06,95.44,3.98,94.86,13.39,49.59,6.31,1.54,85.39
CAR-001,04-01-2026 07:00,3361,91.63,81.55,2.9,86.97,12.83,105.7,8.39,1.04,77.8
CAR-001,04-01-2026 08:00,1780,95.65,89.32,2.52,91.12,12.69,100.97,5.79,2.42,78.86
CAR-001,04-01-2026 09:00,1430,92.48,101.5,3.26,89.1,14.04,117.63,6.71,1.83,63.02
CAR-001,04-01-2026 10:00,3255,92.62,106.38,3.8,89.14,13.94,49.79,11.54,1.76,89.23
CAR-001,04-01-2026 11:00,1958,95.89,105.12,3.37,94.9,14.1,53.59,8.39,1.5,85.77
CAR-001,04-01-2026 12:00,2345,91.83,89.65,2.78,95.46,13.46,28.03,10.43,1.07,84.68
CAR-001,04-01-2026 13:00,3688,98.7,91.44,3.98,96.89,13.63,18.25,11.75,1.19,97.92
CAR-001,04-01-2026 14:00,2159,98.05,106.23,3.16,92.89,13.21,86.69,7.87,1.98,49.26
CAR-001,04-01-2026 15:00,2723,96.72,87.95,3.43,90.96,12.38,39.43,9.72,1.8,97.25
CAR-001,04-01-2026 16:00,3367,95.78,102.78,3.81,85.54,12.35,75.74,11.45,2.5,84.81
CAR-001,04-01-2026 17:00,2577,99.68,102.81,3.56,86.51,12.57,35.94,5.2,1.49,43.37
CAR-001,04-01-2026 18:00,2268,90.62,84.37,3.3,93.49,13.94,20.4,5.55,2.31,77.18
CAR-001,04-01-2026 19:00,1786,100.47,97.49,2.15,94.57,13.21,80.02,11.29,3.2,57.26
CAR-001,04-01-2026 20:00,3038,95.37,93.25,2.32,93.81,13.61,50.92,6.75,3.77,51.95
CAR-001,04-01-2026 21:00,2375,105.8,83.2,2.37,90.38,12.85,83.91,5.15,3.75,63.75
CAR-001,04-01-2026 22:00,833,101.49,100.57,2.92,85.74,13.53,59.61,11.33,2.93,87.93
CAR-001,04-01-2026 23:00,3286,105.03,86.57,2.09,88.76,13.86,92.1,9.77,2.71,45.83
CAR-001,05-01-2026 00:00,3370,102.7,89.27,2.46,93.69,13.81,10.82,7.07,3.62,50.54
CAR-001,05-01-2026 01:00,1341,104.8,106.29,2.35,92.53,12.8,19.75,11.4,3.92,98.04
CAR-001,05-01-2026 02:00,2008,104.2,90.16,1.97,99.44,12.51,115.98,11.02,3.59,98.8
CAR-001,05-01-2026 03:00,3082,98.49,103.72,1.82,93.05,13.2,80.74,9.71,3.38,89.35
CAR-002,01-01-2026 00:00,2321,86.63,87.01,2.54,98.26,13.44,109.83,6.55,1.09,89.43
CAR-002,01-01-2026 01:00,3671,89.53,92.25,2.71,99.19,12.87,59.11,5.68,2.33,48.14
CAR-002,01-01-2026 02:00,2658,90.57,108.48,3.54,93.1,13.49,87.19,11.2,1.98,90.02
CAR-002,01-01-2026 03:00,3321,91.12,108.55,2.55,90.56,13.18,114.07,10.99,1.15,81.14
CAR-002,01-01-2026 04:00,3030,98.53,99.34,2.59,89.14,14.33,113.88,10.77,1.14,52.73
CAR-002,01-01-2026 05:00,3419,93.96,80.64,3.68,88.65,12.48,67.75,5.48,2.15,52.43
CAR-002,01-01-2026 06:00,1684,97.2,86.99,3.66,96.83,13.51,33.27,11.89,2.48,72.41
CAR-002,01-01-2026 07:00,1514,86.65,105.99,2.7,90.37,13.93,70.66,5.11,1.4,47.61
CAR-002,01-01-2026 08:00,2524,92.89,102.37,3.21,96.67,13.33,13.09,8.53,2.42,42.6
CAR-002,01-01-2026 09:00,3498,92.82,93.74,3.95,85.91,13.25,48.19,9.8,1.74,94.58
CAR-002,01-01-2026 10:00,1101,98.49,89.66,2.72,86.89,13.57,70.24,9.99,1.57,75.84
CAR-002,01-01-2026 11:00,2007,91.81,98.16,2.65,95.53,14.08,78.11,10.38,2.08,52.9
CAR-002,01-01-2026 12:00,2649,98.32,92.41,3.74,90.98,13.81,37.51,7.19,1.38,97.22
CAR-002,01-01-2026 13:00,3613,98.84,82.01,3.75,86.4,12.41,88.66,10.68,1.83,75.19
CAR-002,01-01-2026 14:00,3100,93.43,100.1,3.12,98.1,14.27,50.75,11.41,1.08,57.26
CAR-002,01-01-2026 15:00,2079,90.27,97.34,2.82,94.85,12.69,12.99,10.92,1.55,85.76
CAR-002,01-01-2026 16:00,3151,88.39,92.87,3.34,96.51,13.57,81,8.9,1.91,79.47
CAR-002,01-01-2026 17:00,3640,89.01,85.41,3.55,89.63,12.95,0.73,11.09,1.85,64.05
CAR-002,01-01-2026 18:00,1381,96.11,109.15,2.64,92.96,13.03,54.44,6.1,1.47,59.46
CAR-002,01-01-2026 19:00,3124,93.94,106.5,2.73,96.32,12.31,9.79,8.1,1.64,76.42
CAR-002,01-01-2026 20:00,2496,89.1,102.65,2.67,91.45,12.82,81.42,8.41,2,42.73
CAR-002,01-01-2026 21:00,2418,99.77,81.64,2.81,99.18,13.89,91.7,7.03,1.18,69.84
CAR-002,01-01-2026 22:00,2563,87.64,91.41,3.56,92.5,14.03,96.74,5.5,2.29,42.54
CAR-002,01-01-2026 23:00,876,91.9,82.34,2.97,91.44,13.09,76.82,7.03,1.61,97.97
CAR-002,02-01-2026 00:00,1503,97.02,98.54,3.75,98.8,12.39,101.34,6.7,1.88,71.44
CAR-002,02-01-2026 01:00,2421,98.06,102.37,2.83,96.69,12.37,75.99,8.71,1.29,86.57
CAR-002,02-01-2026 02:00,2238,95.91,104.57,3.72,88.54,12.52,23.67,9.22,2.14,79.33
CAR-002,02-01-2026 03:00,1525,99.27,98.84,3.2,93.46,13.47,81.74,11.17,1.96,99.19
CAR-002,02-01-2026 04:00,2123,97.96,98.82,2.73,86.02,13.17,36.34,6.92,1.08,70.44
CAR-002,02-01-2026 05:00,2071,91.93,81.13,3.05,89.31,13.62,117.28,5.63,1.89,63.07
CAR-002,02-01-2026 06:00,3177,93.31,103.75,3.84,91.75,13.98,78.22,7.25,1.71,49.05
CAR-002,02-01-2026 07:00,1053,91.76,104.33,3.76,99.74,12.39,77.54,5.27,2.06,99.46
CAR-002,02-01-2026 08:00,2946,92.84,84.76,3.06,89.24,13.1,40.6,9.19,2.18,78.84
CAR-002,02-01-2026 09:00,1069,89.95,96.74,3.08,88.78,14.07,115.73,9.22,1.23,44.89
CAR-002,02-01-2026 10:00,3518,87.12,90.49,3.95,95.48,13.06,71.4,11.57,1.46,62.6
CAR-002,02-01-2026 11:00,2145,97.2,100.1,3.74,96.08,13.71,63.17,9.52,1.64,61.71
CAR-002,02-01-2026 12:00,2285,89.63,108.54,3.01,96.49,12.62,120,6.08,1.44,87.29
CAR-002,02-01-2026 13:00,2879,96.56,105.05,3.83,85.57,12.94,91.96,5.92,1.57,49.73
CAR-002,02-01-2026 14:00,3637,96.57,104.27,2.75,91.57,13.1,81.16,6.66,1.67,57.1
CAR-002,02-01-2026 15:00,3866,96.76,87.02,2.86,99.48,13.93,108.48,6.36,2.02,74.23
CAR-002,02-01-2026 16:00,2604,91.93,88.45,3.07,92.91,14.33,98.03,10.61,1.21,55
CAR-002,02-01-2026 17:00,3426,92.21,91.14,3.9,95.67,13.34,14.96,5.59,1.24,66.96
CAR-002,02-01-2026 18:00,2902,87.21,93.12,3.92,88.33,13.19,41.95,5.19,1.08,70.12
CAR-002,02-01-2026 19:00,1765,90.79,82.45,2.84,89.78,12.42,85.76,7.35,1.22,42.3
CAR-002,02-01-2026 20:00,2735,95.44,84.16,3.56,91.73,12.21,9.51,6.79,2.25,72.93
CAR-002,02-01-2026 21:00,3778,94.13,92.7,3.66,88.56,12.47,28.61,9.47,1.93,43.77
CAR-002,02-01-2026 22:00,2847,93.95,80.49,3.27,88.63,12.52,51.51,9.3,1.36,64.99
CAR-002,02-01-2026 23:00,3521,95.02,95.7,3.04,99.3,13.4,94.37,8.55,1.03,92.4
CAR-002,03-01-2026 00:00,978,94.54,109.43,2.88,85.24,13.93,41.38,10.13,1.94,86.29
CAR-002,03-01-2026 01:00,3811,96.35,84,3.03,90.08,13.61,99.65,9.79,2.47,68.71
CAR-002,03-01-2026 02:00,1546,97.17,81.89,3.66,91.87,12.85,5.26,6.4,1.06,96
CAR-002,03-01-2026 03:00,2911,90.97,104.46,3.21,85.55,13.62,34.33,11.03,1.07,79.34
CAR-002,03-01-2026 04:00,1919,86.87,91.04,3.83,96.15,14.17,46.4,11.82,1.74,69.85
CAR-002,03-01-2026 05:00,2926,89,82.48,3.14,91.46,14.39,21.65,7.06,1.15,59.68
CAR-002,03-01-2026 06:00,2010,89.6,98.08,3.14,95.35,12.97,5.08,11.09,1.53,99.89
CAR-002,03-01-2026 07:00,1924,94.59,103.74,2.59,95.07,13.09,61.57,10.25,1.24,41.87
CAR-002,03-01-2026 08:00,3288,95.17,93.15,2.69,88.54,13.62,43.46,11.65,1.05,49.21
CAR-002,03-01-2026 09:00,2642,99.23,91.16,3.64,93.61,13.36,47.76,9.55,1.37,46.81
CAR-002,03-01-2026 10:00,3813,87.79,95.53,3.87,86.77,13.9,84.48,6.5,1.92,81.64
CAR-002,03-01-2026 11:00,2811,88,84.07,2.61,87.59,13.77,119.67,10.67,2.45,99.19
CAR-002,03-01-2026 12:00,3535,90.21,81.95,3.31,98.37,14.07,85.42,11.49,1.96,87.62
CAR-002,03-01-2026 13:00,2883,88.36,109.55,3.69,88.55,13.29,43.31,9.01,1.7,98.98
CAR-002,03-01-2026 14:00,1331,94.18,82.59,2.96,99.99,13.78,63.08,10.38,2.24,44.43
CAR-002,03-01-2026 15:00,2098,94.64,93.5,3.52,90.17,14.13,93.63,9.48,1.27,97.98
CAR-002,03-01-2026 16:00,2572,92.54,106.05,3.75,92.77,12.87,19.44,11.54,1.34,96.85
CAR-002,03-01-2026 17:00,2925,98.42,105.38,2.88,94.53,13.41,15.02,7.12,1.8,70.15
CAR-002,03-01-2026 18:00,1490,93.88,97.42,2.76,94.37,14.18,40.51,11.47,1.06,91.83
CAR-002,03-01-2026 19:00,1132,85.68,99.24,3.37,94.77,13.89,49.99,9.47,1.75,77.63
CAR-002,03-01-2026 20:00,1986,94.63,89.06,2.87,97.11,13.09,54.43,9.82,1.24,64.94
CAR-002,03-01-2026 21:00,2702,88.06,98.2,2.97,95.78,13.82,103.29,11.83,1.2,62.23
CAR-002,03-01-2026 22:00,3100,86.59,87.25,2.68,91.74,12.51,6.07,11.62,2.3,65.09
CAR-002,03-01-2026 23:00,1454,97.2,108.01,3.58,87.85,12.55,119.52,8.27,2.32,69.84
CAR-002,04-01-2026 00:00,1168,99.18,95.16,3.95,88.23,12.98,6.06,8.46,2.32,79.26
CAR-002,04-01-2026 01:00,2727,89.29,80.25,2.66,87.01,12.78,43.89,7.82,1.07,43.07
CAR-002,04-01-2026 02:00,3101,87.92,96.6,2.61,92.56,13.88,33.57,11.92,2.02,47.13
CAR-002,04-01-2026 03:00,1196,90.91,103.85,3.01,99.08,13.86,23.89,8.56,1.75,42.72
CAR-002,04-01-2026 04:00,1361,95.7,104.12,3.28,87.23,14.16,16.77,11.52,1.48,63.58
CAR-002,04-01-2026 05:00,3325,96.09,88.98,3,97.42,13.37,85.05,7.1,2.22,62.1
CAR-002,04-01-2026 06:00,3559,86.64,92.5,2.96,98.48,14.12,75.51,9.18,1.4,79.34
CAR-002,04-01-2026 07:00,3979,93.68,86.83,2.58,92.21,13.35,86.54,10.42,1.57,89.3
CAR-002,04-01-2026 08:00,1792,85.47,108.45,2.66,85.28,12.89,18.17,9.83,1.62,86.5
CAR-002,04-01-2026 09:00,2731,98.09,102.08,2.59,87.07,12.66,39.01,9.64,1.79,58.83
CAR-002,04-01-2026 10:00,1509,91.89,95.99,3.32,95.14,14.11,81.69,10.63,1.4,69.05
CAR-002,04-01-2026 11:00,1809,89.19,88.95,3.91,99.73,13.9,84.59,9.83,1.73,68.79
CAR-002,04-01-2026 12:00,3095,99.01,103.86,2.91,86.83,13.69,45.56,11.86,2.23,97.28
CAR-002,04-01-2026 13:00,1399,89.36,88.63,3.57,90.2,13.17,30.77,8.35,1.3,72.31
CAR-002,04-01-2026 14:00,3102,95.44,84.12,3.42,93.8,12.73,80.38,8.72,1.96,43.15
CAR-002,04-01-2026 15:00,2492,89.95,94.17,3.52,87.06,14.32,117.35,6.11,1.98,92.84
CAR-002,04-01-2026 16:00,2748,92.16,85.98,3.95,89.82,13.62,108.95,5.63,1.86,72.11
CAR-002,04-01-2026 17:00,3761,97.75,81.12,3.88,91.27,14.04,112.07,5.25,2.25,87.28
CAR-002,04-01-2026 18:00,1563,101.5,108.86,3.08,98.15,12.22,68.16,5.75,2.38,57.07
CAR-002,04-01-2026 19:00,3426,103,94.82,2.96,97.77,13.23,23.14,5.79,2.56,67.53
CAR-002,04-01-2026 20:00,1853,104.5,80.42,2.84,89.43,13.68,23.18,9.28,2.74,64.33
CAR-002,04-01-2026 21:00,2551,106,82.6,2.72,87.77,12.51,38.83,6.74,2.92,54.13
CAR-002,04-01-2026 22:00,3887,107.5,89.89,2.6,93.59,12.78,43.15,6.65,3.1,67.92
CAR-002,04-01-2026 23:00,1454,109,95.08,2.48,95.55,12.88,14.09,11.41,3.28,76.88
CAR-002,05-01-2026 00:00,1697,110.5,94.35,2.36,99.83,13.02,84.23,11.39,3.46,88.12
CAR-002,05-01-2026 01:00,1694,112,100.41,2.24,96.81,13.36,63.38,7.53,3.64,46.73
CAR-002,05-01-2026 02:00,3043,113.5,86.06,2.12,87.47,14.08,53.02,9.76,3.82,69.33
CAR-002,05-01-2026 03:00,2890,115,81.67,2,91.23,13.44,67.06,9.71,4,41.31
CAR-003,01-01-2026 00:00,1842,97.25,102.37,3.37,85.68,12.96,7.65,11.96,2.4,44.14
CAR-003,01-01-2026 01:00,2733,85.48,92.27,3.65,96.49,14.35,77.51,7.94,2.49,62.95
CAR-003,01-01-2026 02:00,2346,90.63,100.48,3.49,93.09,13.64,41.73,6.25,1.81,71.73
CAR-003,01-01-2026 03:00,3781,99.68,105.04,3.63,99.68,13.22,86.29,7.97,1.57,53.78
CAR-003,01-01-2026 04:00,2686,90.19,88.27,3.91,95.88,12.45,97.14,7.93,2.15,93.03
CAR-003,01-01-2026 05:00,864,88.61,82.02,3.39,91.7,13.68,104.67,6.71,1.07,66.34
CAR-003,01-01-2026 06:00,3010,88.26,105.91,2.58,92.56,12.84,97.89,10.12,1.48,75.88
CAR-003,01-01-2026 07:00,3554,97.28,87.11,3.81,99.79,13.35,49.63,6.93,1.84,75.5
CAR-003,01-01-2026 08:00,3811,98.67,98.78,3.14,92.43,14.34,112.99,9.7,2.18,59.12
CAR-003,01-01-2026 09:00,2505,91.12,89,2.78,93.07,12.73,27.04,11,1.22,67.78
CAR-003,01-01-2026 10:00,1036,93.44,109.03,3.34,87.01,12.73,24.4,9.53,2.38,90.83
CAR-003,01-01-2026 11:00,1178,93.03,104.88,2.58,90.66,13.53,4.75,5.51,2.21,75.26
CAR-003,01-01-2026 12:00,3550,93.38,94.38,3.8,89.99,14.31,1.84,11.56,2.44,47.04
CAR-003,01-01-2026 13:00,3889,92.18,87.28,3.41,88.07,14.21,66.25,10.43,1.57,72.02
CAR-003,01-01-2026 14:00,2271,89.63,90.79,3.82,91.99,13.97,86.69,10.33,1.48,52.19
CAR-003,01-01-2026 15:00,2081,91.21,96.88,2.83,87.19,12.77,112.17,9.05,1.63,49.14
CAR-003,01-01-2026 16:00,2151,88.45,97.09,2.87,93.26,14.28,40.51,10.34,1.73,83.41
CAR-003,01-01-2026 17:00,3829,92.36,85.05,3.69,87.54,13.78,58.6,11.42,1.81,78.51
CAR-003,01-01-2026 18:00,1040,92.86,105.17,2.61,97.27,12.31,0.77,5.96,1.95,44.08
CAR-003,01-01-2026 19:00,1418,85.14,95.17,3.06,94.27,13.67,73.98,8.38,1.73,40.4
CAR-003,01-01-2026 20:00,3059,91.17,80.5,3.58,93.04,12.83,60.27,9.89,1.65,96.38
CAR-003,01-01-2026 21:00,1534,86.61,82.89,2.72,87.88,13.36,97.83,6.87,1.6,62.38
CAR-003,01-01-2026 22:00,2463,91.88,87.3,3.55,89.5,14.02,9.67,11.94,1.97,41.9
CAR-003,01-01-2026 23:00,2460,90.69,96.58,2.58,85.14,12.58,59.98,8.04,2.18,73.95
CAR-003,02-01-2026 00:00,1190,98.42,107.57,2.84,98.52,13.72,68.01,6.9,2.39,81.07
CAR-003,02-01-2026 01:00,1948,98.49,96.91,2.55,98.93,12.89,115.38,9.11,2.13,82.76
CAR-003,02-01-2026 02:00,2431,98.93,88.98,3.35,93.5,14.07,81.24,8.78,1.58,84.38
CAR-003,02-01-2026 03:00,3623,95.86,95.02,3.96,85.81,13.16,100.64,7.38,2.15,97.29
CAR-003,02-01-2026 04:00,2424,99.53,89.79,3.45,96.75,13.19,27.38,8.87,1.56,51.14
CAR-003,02-01-2026 05:00,3199,94.91,82.57,3.43,96.97,13.77,9.84,6.08,2.07,78.03
CAR-003,02-01-2026 06:00,3829,90.84,90.82,2.64,99.14,13.18,91.36,5.72,1.13,65.86
CAR-003,02-01-2026 07:00,3081,93.32,92.24,2.54,90.31,12.4,71.77,7.27,1.58,57.51
CAR-003,02-01-2026 08:00,2388,96.69,101.75,3.34,99.89,12.73,62.53,9.8,1.25,56.14
CAR-003,02-01-2026 09:00,1899,92.4,81.9,3.15,91.32,13.27,9.23,6.76,1.37,77.5
CAR-003,02-01-2026 10:00,3232,94.25,93.74,2.7,85.1,13.07,100.99,7.66,2.29,66.41
CAR-003,02-01-2026 11:00,2563,97.23,105.79,3.96,87.04,12.91,113.67,6.41,1.47,97.87
CAR-003,02-01-2026 12:00,2107,89.37,100.85,3.24,93.64,12.73,45.13,10.72,1.59,46.83
CAR-003,02-01-2026 13:00,3109,88,109.92,2.77,96.51,12.26,87.27,11.6,1.31,87.86
CAR-003,02-01-2026 14:00,3637,86.04,105.43,3.69,95.09,12.51,36.34,6.77,1.23,65.39
CAR-003,02-01-2026 15:00,2344,86.11,109.72,3.22,91.01,13.31,110.45,9.84,1.82,87.44
CAR-003,02-01-2026 16:00,2272,95.52,104.37,3.39,98.72,12.44,29.79,9.65,1.25,76.76
CAR-003,02-01-2026 17:00,3106,99.75,100.32,3.1,96.29,14.32,51.65,5.07,1.39,70.64
CAR-003,02-01-2026 18:00,2924,93.37,100.63,2.83,90.61,13.22,81.55,9.83,1.23,99.86
CAR-003,02-01-2026 19:00,2777,86.57,92.48,3.94,86.74,14.27,17,7.18,1.68,52.41
CAR-003,02-01-2026 20:00,2778,90.22,82.93,3.58,91.79,12.35,5.36,9.98,1.03,60.58
CAR-003,02-01-2026 21:00,1247,95.16,84.93,3.98,88.66,12.58,19.22,8.92,2.44,53.91
CAR-003,02-01-2026 22:00,2459,94.45,85.59,3.49,90.93,13.82,105.97,8.15,1.64,40.27
